Start Date ,Start Time,End Date,End Time,Event Title ,Event Description,All Day Event,No End Time,Contact ,Contact Email,Contact Phone,Location,Category,Registration,Maximum Seats,Last Date To Register
10/5/2013,7:00 AM,10/5/2013,7:30 AM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,7:30 AM,10/5/2013,8:00 AM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,8:00 AM,10/5/2013,8:30 AM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,8:30 AM,10/5/2013,9:00 AM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,9:00 AM,10/5/2013,9:30 AM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,9:30 AM,10/5/2013,10:00 AM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,10:00 AM,10/5/2013,10:30 AM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,10:30 AM,10/5/2013,11:00 AM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,11:00 AM,10/5/2013,11:30 AM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,11:30 AM,10/5/2013,12:00 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,12:00 PM,10/5/2013,12:30 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,12:30 PM,10/5/2013,1:00 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,1:00 PM,10/5/2013,1:30 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,1:30 PM,10/5/2013,2:00 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,2:00 PM,10/5/2013,2:30 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,2:30 PM,10/5/2013,3:00 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,3:00 PM,10/5/2013,3:30 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,3:30 PM,10/5/2013,4:00 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,4:00 PM,10/5/2013,4:30 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,4:30 PM,10/5/2013,5:00 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,5:00 PM,10/5/2013,5:30 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,5:30 PM,10/5/2013,6:00 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,6:00 PM,10/5/2013,6:30 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
10/5/2013,6:30 PM,10/5/2013,7:00 PM,Parent Teacher Conference,Register for a half hour parent teacher conference. ,N,N,Chris Gallagher,cgallagher@schoolwires.com,814-555-5179,Room 203,2,Y,1,10/4/2013
